index_x,statefips,countyfips,avghouseholdsize,geography,index_y,avganncount,avgdeathsperyear,target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,binnedinc,medianage,medianagemale,medianagefemale,percentmarried,pctnohs18_24,pcths18_24,pctsomecol18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctprivatecoveragealone,pctempprivcoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,pctmarriedhouseholds,birthrate,state
171,4,1,3.67,"Apache County, Arizona",2733,186.0,95,142.1,269.9,32366,71474,33.1,307.8042365,"[22640, 34218.1]",33.4,32.3,34.4,34.8,25.8,39.1,34.0,1.1,33.4,6.9,34.5,18.2,31.5,24.7,22.4,50.8,38.8,23.2405302,0.6128334529999999,0.427042316,1.056513782,40.00103778,6.518302323,Arizona
172,4,3,2.42,"Cochise County, Arizona",2734,583.0,267,154.6,350.1,45025,126427,18.7,0.0,"(42724.4, 45201]",40.0,38.2,41.8,50.4,17.9,37.9,,4.4,23.4,14.5,42.3,8.7,64.7,37.2,27.0,43.5,20.5,80.02036299,3.874366549,1.679174991,7.288251946,49.64669739,5.457360828,Arizona
173,4,5,2.7,"Coconino County, Arizona",2735,399.0,130,119.8,348.4,48653,139097,21.3,50.32459363,"(48021.6, 51046.4]",30.8,30.7,31.0,41.2,9.7,26.3,,7.1,21.3,19.5,58.9,8.8,61.1,47.2,38.6,29.8,17.8,62.81592673,1.563265814,1.658363874,3.577150131,44.86582724,5.030073987,Arizona
174,4,7,2.5,"Gila County, Arizona",2736,290.0,147,163.3,339.2,37677,53159,24.4,0.0,"(37413.8, 40362.7]",48.6,47.4,50.1,50.9,25.0,38.2,,2.4,30.0,9.7,41.4,12.8,52.0,31.3,26.9,52.7,29.4,79.1441738,0.722279695,0.6000188089999999,1.958055111,48.17064422,6.179351922,Arizona
175,4,9,3.02,"Graham County, Arizona",2737,137.0,60,174.0,395.7,46046,37666,20.0,0.0,"(45201, 48021.6]",32.0,32.5,31.7,45.7,20.8,30.0,47.6,1.6,32.9,8.1,42.4,14.1,55.7,42.9,38.7,41.9,28.4,77.04440345,2.090517818,0.644264442,3.980538402,52.38616662,9.188988095,Arizona
176,4,11,2.78,"Greenlee County, Arizona",2739,32.0,14,161.2,364.5,59416,9529,10.3,0.0,"(54545.6, 61494.5]",33.0,32.5,34.0,49.6,26.6,30.8,41.2,1.4,37.5,8.2,49.7,10.0,69.6,54.5,52.0,29.5,14.7,89.36052311,1.540507592,0.443311537,3.479995567,48.67971420000001,7.95730228,Arizona
177,4,12,2.14,"La Paz County, Arizona",2740,129.0,54,126.1,332.0,32533,20152,22.8,0.0,"[22640, 34218.1]",54.8,54.8,54.9,54.1,26.3,40.4,33.3,0.0,36.6,6.4,37.0,11.2,50.3,23.7,20.9,62.2,31.3,73.92672732,0.196705188,0.82616179,8.984509466,46.56700481,4.686489981,Arizona
178,4,13,2.75,"Maricopa County, Arizona",2741,15470.0,5780,146.6,401.4,53929,4167947,17.1,177.54544380000002,"(51046.4, 54545.6]",35.6,34.5,36.8,47.1,16.7,30.5,,8.3,23.0,19.5,58.4,7.7,63.1,51.4,44.1,31.4,19.8,79.58076654,5.2210436510000005,3.78901398,6.188306389,47.03650145,5.392191187000001,Arizona
179,4,15,2.43,"Mohave County, Arizona",2742,1424.0,672,196.6,444.9,37704,204737,20.8,161.182395,"(37413.8, 40362.7]",49.2,48.3,50.0,49.5,25.7,40.3,,2.8,35.7,7.6,39.5,13.2,50.5,30.1,25.0,52.9,29.2,89.04564275,1.127054219,1.227859679,2.935159961,48.43873713,4.575797025,Arizona
180,4,17,3.08,"Navajo County, Arizona",2743,370.0,167,146.8,325.3,35457,108277,28.5,0.0,"(34218.1, 37413.8]",35.7,34.5,37.0,45.0,30.7,36.4,,0.6,29.5,9.0,39.7,19.8,40.1,28.3,24.1,52.7,37.8,48.40046073,0.669725793,0.585197295,3.4127220030000003,46.90732222,7.96636424,Arizona
181,4,19,2.49,"Pima County, Arizona",2744,4415.0,1916,155.5,379.1,45871,1010025,18.7,202.9652731,"(45201, 48021.6]",38.0,36.5,39.7,44.9,15.3,27.6,,7.6,22.8,17.7,52.6,10.0,61.0,,38.9,38.5,22.9,77.88384406,3.617592538,2.753828852,8.566632984,43.51071966,5.501557741,Arizona
182,4,21,2.87,"Pinal County, Arizona",2745,1342.0,558,133.5,330.9,49876,406584,17.6,19.67613089,"(48021.6, 51046.4]",37.6,36.9,38.5,49.9,28.3,36.3,,2.2,30.1,11.7,44.3,10.6,61.6,,40.7,39.5,22.8,79.37255626,4.606282647,1.718440524,5.529386411,54.21202361,5.719536436,Arizona
183,4,23,3.04,"Santa Cruz County, Arizona",2746,149.0,68,132.8,296.2,37465,46461,23.6,0.0,"(37413.8, 40362.7]",36.5,33.5,38.9,53.1,25.2,27.5,41.4,5.9,25.3,14.6,49.1,11.3,49.5,32.7,28.0,44.6,27.9,79.75484885,0.350519406,0.989951777,17.06498417,53.67536949,6.643259725,Arizona
184,4,25,2.3,"Yavapai County, Arizona",2747,1373.0,595,156.6,389.4,44145,222255,15.6,112.4834087,"(42724.4, 45201]",51.3,49.9,52.7,53.5,20.9,29.5,,4.6,25.6,16.1,44.6,10.0,59.7,37.4,29.1,48.0,23.3,91.62438193,0.594918424,0.879182948,2.712550232,50.73231503,4.975284763,Arizona
185,4,27,2.77,"Yuma County, Arizona",2748,752.0,291,126.8,343.0,39700,204275,22.6,44.05825479999999,"(37413.8, 40362.7]",33.8,32.3,35.8,55.7,20.3,32.0,,2.8,25.0,9.4,46.1,13.1,51.6,37.7,31.3,41.5,26.3,77.14139329,2.11836226,1.297620045,15.68327036,57.69758915,6.284513402999999,Arizona
